Date,Predicted Sugar Price
2024-08-19 14:45:20.388586,20.052173943000014
2024-08-20 14:45:20.543219,14.720641657760002
2024-08-21 14:45:20.548228,15.948990939130004
2024-08-22 14:45:20.559422,17.091048247320003
2024-08-23 14:45:20.564487,14.662627143439995
2024-08-24 14:45:20.573673,15.150085358659998
2024-08-25 14:45:20.580683,15.523146568639994
2024-08-26 14:45:20.588695,15.117353811459997
2024-08-27 14:45:20.596835,15.192501431319993
2024-08-28 14:45:20.605001,16.894872194610002
2024-08-29 14:45:20.620850,14.053706713240004
2024-08-30 14:45:20.630791,15.376077922529992
2024-08-31 14:45:20.636540,13.940341825259999
2024-09-01 14:45:20.645735,14.335858084559991
2024-09-02 14:45:20.653942,14.065541484959997
2024-09-03 14:45:20.660950,12.960941855480003
2024-09-04 14:45:20.668960,13.326809744559998
2024-09-05 14:45:20.676962,16.346232358810003
2024-09-06 14:45:20.689189,12.678923137449999
2024-09-07 14:45:20.702907,13.343882323159995
2024-09-08 14:45:20.712899,12.111149304239996
2024-09-09 14:45:20.723713,13.23371538896
2024-09-10 14:45:20.737326,12.360623155199994
2024-09-11 14:45:20.743337,12.925400012799994
2024-09-12 14:45:20.756996,12.47812284325999
2024-09-13 14:45:20.761404,14.711449692729998
2024-09-14 14:45:20.767918,12.290336683239993
2024-09-15 14:45:20.786437,12.372295231149993
2024-09-16 14:45:20.796735,12.552345675109994
2024-09-17 14:45:20.805549,12.570425572269992
2024-09-18 14:45:20.816957,12.341815224339994
2024-09-19 14:45:20.830789,12.091053066059992
2024-09-20 14:45:20.837223,12.201246282749997
2024-09-21 14:45:20.853030,11.657214272599992
2024-09-22 14:45:20.858043,11.528257346879993
2024-09-23 14:45:20.866054,11.166577970719993
2024-09-24 14:45:20.874053,11.70757304861999
2024-09-25 14:45:20.882054,10.983854909089992
2024-09-26 14:45:20.890056,11.12995119321999
2024-09-27 14:45:20.903042,10.92614334813999
2024-09-28 14:45:20.907609,10.59457634765999
2024-09-29 14:45:20.914623,10.58239354189999
2024-09-30 14:45:20.928699,10.453105964389993
2024-10-01 14:45:20.947303,10.46398758268999
2024-10-02 14:45:20.963339,10.34139603732999
2024-10-03 14:45:20.972479,10.281941665849988
2024-10-04 14:45:20.980596,10.322450644749988
2024-10-05 14:45:20.987605,10.310145348479988
2024-10-06 14:45:20.987605,10.351686345729991
2024-10-07 14:45:20.995617,10.33034787737999
2024-10-08 14:45:21.003615,10.219329299409987
2024-10-09 14:45:21.011614,10.197863968729985
2024-10-10 14:45:21.019998,10.158186115039987
2024-10-11 14:45:21.028448,10.147280565549988
2024-10-12 14:45:21.036793,10.35621491157999
2024-10-13 14:45:21.044808,10.59197146734999
2024-10-14 14:45:21.052807,10.177440534649989
2024-10-15 14:45:21.061090,10.569187342969988
2024-10-16 14:45:21.071637,10.52949952028999
2024-10-17 14:45:21.076777,10.528444249599989
2024-10-18 14:45:21.084788,10.918813796259986
2024-10-19 14:45:21.092792,10.918813796259986
2024-10-20 14:45:21.100791,10.950366366629986
2024-10-21 14:45:21.108613,10.929549538149987
2024-10-22 14:45:21.113206,10.940029952349985
2024-10-23 14:45:21.119342,10.950129218939985
2024-10-24 14:45:21.125352,10.940029952349985
2024-10-25 14:45:21.133368,10.940029952349985
2024-10-26 14:45:21.133368,10.940029952349985
2024-10-27 14:45:21.149368,10.940029952349985
2024-10-28 14:45:21.152212,10.940029952349985
2024-10-29 14:45:21.157727,10.940029952349985
2024-10-30 14:45:21.166866,10.940029952349985
2024-10-31 14:45:21.173945,10.940029952349985
2024-11-01 14:45:21.181956,10.950232829039985
2024-11-02 14:45:21.186933,10.939816408939985
2024-11-03 14:45:21.198464,10.950232829039985
2024-11-04 14:45:21.198464,10.939816408939985
2024-11-05 14:45:21.206464,10.939360902439985
2024-11-06 14:45:21.214463,10.939360902439985
2024-11-07 14:45:21.226170,10.549446862279988
2024-11-08 14:45:21.230517,10.549446862279988
2024-11-09 14:45:21.238733,10.549446862279988
2024-11-10 14:45:21.238733,10.549446862279988
2024-11-11 14:45:21.246746,10.549446862279988
2024-11-12 14:45:21.254743,10.549446862279988
2024-11-13 14:45:21.265509,10.549446862279988
2024-11-14 14:45:21.270866,10.549446862279988
2024-11-15 14:45:21.278880,10.549446862279988
2024-11-16 14:45:21.287035,10.549446862279988
2024-11-17 14:45:21.287035,10.549446862279988
2024-11-18 14:45:21.303531,10.549446862279988
2024-11-19 14:45:21.311544,10.549446862279988
2024-11-20 14:45:21.321194,10.549446862279988
2024-11-21 14:45:21.324651,10.539243985589987
2024-11-22 14:45:21.327554,10.539243985589987
2024-11-23 14:45:21.336903,10.539243985589987
2024-11-24 14:45:21.351931,10.539243985589987
2024-11-25 14:45:21.351931,10.539243985589987
2024-11-26 14:45:21.359928,10.539243985589987
2024-11-27 14:45:21.370090,10.929613532249984
2024-11-28 14:45:21.376099,10.929613532249984
2024-11-29 14:45:21.376099,10.929613532249984
2024-11-30 14:45:21.384110,10.929613532249984
2024-12-01 14:45:21.400110,10.929613532249984
2024-12-02 14:45:21.402595,10.929613532249984
2024-12-03 14:45:21.408605,10.929613532249984
2024-12-04 14:45:21.420143,10.929613532249984
2024-12-05 14:45:21.427427,10.929613532249984
2024-12-06 14:45:21.438737,10.929613532249984
2024-12-07 14:45:21.442975,10.929613532249984
2024-12-08 14:45:21.452637,10.929613532249984
2024-12-09 14:45:21.458149,10.929613532249984
2024-12-10 14:45:21.466163,10.929613532249984
2024-12-11 14:45:21.474168,10.939816408939985
2024-12-12 14:45:21.482165,10.939816408939985
